,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
353.0,2.430885667112323e-08,1.5545299165702895e-07,8.593381273180996e-08,3.1030756332978146e-07,1.0716902267605743e-07,0.0025620600306554375,5.5852531865807986e-06,2.3290505788041926e-10,0.0,0.0,0.0,0.0
354.0,2.756794474691183e-08,1.5459636075535563e-07,8.898682789449195e-08,3.1044211420063686e-07,1.1164870304758191e-07,0.0020655951860505295,6.5372787634695224e-06,2.288047567214333e-11,0.0,0.0,0.0,0.0
355.0,2.2841368600666735e-08,1.684438602239509e-07,1.0401690490151226e-07,3.146330609036805e-07,1.1026704348550663e-07,0.00116313090641562,7.841724624733338e-06,1.5448197510724673e-10,0.0,0.0,0.0,0.0
356.0,2.2811686668001514e-08,1.6097370897800007e-07,1.0570336382108556e-07,3.1588421131777015e-07,1.0917296569148059e-07,0.0004165379117625673,5.6505681600858445e-06,2.0963607873918484e-10,0.0,0.0,0.0,0.0
357.0,4.850017819399513e-08,1.5076277558749339e-07,8.113517189872512e-08,3.072264553377239e-07,1.0450055209192554e-07,8.743646943165023e-05,6.3996748280688465e-06,3.1102419664414596e-10,0.0,0.0,0.0,0.0
358.0,2.4630697513585484e-08,1.5761973323259082e-07,9.179170678432965e-08,2.7417516153645334e-07,1.114933163249631e-07,2.031358853706662e-05,3.5553065507068493e-06,1.7278789836435284e-10,0.0,0.0,0.0,0.0
359.0,2.4576126994283158e-08,1.599937005594172e-07,9.336688082469726e-08,2.7093800010124454e-07,1.0232330384641865e-07,1.2372305385599446e-05,5.815214565359556e-06,1.9480968793954514e-10,0.0,0.0,0.0,0.0
360.0,2.7532940243901734e-08,1.4652105614313156e-07,9.607510099099338e-08,3.112110793512058e-07,1.0318432461758223e-07,5.04450991348442e-06,7.515831841234212e-06,4.359182467915843e-11,0.0,0.0,0.0,0.0
361.0,3.2866414544784656e-08,1.6067963785510468e-07,1.0186306309931335e-07,3.06343506461563e-07,1.1717945935849226e-07,2.240954392537396e-06,7.542255090466352e-06,1.7422609258977274e-10,0.0,0.0,0.0,0.0
362.0,5.997930080128077e-08,1.8364588368406024e-07,1.1480544434740498e-07,2.5287548407486e-07,1.3930303492664142e-07,4.454818499201769e-06,5.895105516173719e-06,2.4523638947282665e-10,0.0,0.0,0.0,0.0
363.0,3.864877132663826e-08,1.9851348195155025e-07,1.2206544282729887e-07,2.6666924366579516e-07,1.469890653373747e-07,6.702447672087981e-06,7.870125105497042e-06,1.5425445206774198e-10,0.0,0.0,0.0,0.0
364.0,4.8094478269665393e-08,2.1044407525806543e-07,1.3399182372894935e-07,3.4842923724810044e-07,1.5352522350025073e-07,5.388029840399035e-06,5.314160800229864e-06,2.0831510336901066e-10,0.0,0.0,0.0,0.0
365.0,6.291336366246195e-08,2.2734664884696696e-07,1.4262071862851716e-07,3.5829243194121496e-07,1.7236792826901536e-07,4.078466264990829e-06,8.450790645530096e-06,2.5352371936590283e-10,0.0,0.0,0.0,0.0
366.0,6.353180767300185e-08,2.3576829141089592e-07,1.6714902834924686e-07,3.232705311693266e-07,1.8311032398889168e-07,4.820071110003198e-06,1.1357124878857258e-05,2.612138722137169e-11,0.0,0.0,0.0,0.0
367.0,5.3400550182986816e-08,2.587752991108214e-07,1.679798834845686e-07,2.9663528982941334e-07,1.6638238659260337e-07,4.411285408971748e-06,1.0385786660724906e-05,1.3189949059120633e-10,0.0,0.0,0.0,0.0
368.0,7.847570717241328e-08,2.7868209977299485e-07,1.5827343346016218e-07,2.964020936510706e-07,1.8437434665210975e-07,7.494772663641259e-06,8.714510175567189e-06,3.416087988822338e-10,0.0,0.0,0.0,0.0
369.0,3.824731192724136e-08,2.9747734821233576e-07,1.6733336351881986e-07,2.9849948304368224e-07,2.1499216639238546e-07,9.050054021322802e-06,1.2926629902420303e-05,5.95917638501576e-10,0.0,0.0,0.0,0.0
370.0,9.909482050418396e-08,3.201358303052307e-07,1.9556221675170858e-07,4.1184657887201777e-07,2.3225520961577038e-07,7.225583887300681e-06,1.0285005107513603e-05,4.96765746692907e-10,0.0,0.0,0.0,0.0
371.0,1.4266106468341072e-07,3.2442150034649845e-07,2.1358257213473499e-07,6.118415865468995e-07,2.2419506376974717e-07,4.9065944141962465e-06,1.2540021430932956e-05,3.172625422026038e-10,0.0,0.0,0.0,0.0
372.0,1.099571186547472e-06,3.519514868020429e-07,2.5223365345765025e-07,6.716888324270967e-07,2.4681630699056737e-07,8.021607639057414e-06,1.893051079879965e-05,1.3062052451171758e-10,0.0,0.0,0.0,0.0
373.0,5.85772576026527e-06,3.5612546528493253e-07,2.3159662553406245e-07,6.236123156376668e-07,2.3163681811225063e-07,1.0631810682481218e-05,3.3880595909261316e-05,5.454775941391073e-10,0.0,0.0,0.0,0.0
374.0,1.962117962575339e-05,3.642894463168659e-07,2.2335048596258996e-07,5.238505310008149e-07,2.4173375169040955e-07,1.780292779146497e-05,7.588803179325422e-05,2.4360058205634603e-09,0.0,0.0,0.0,0.0
