,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
372.0,5.7286692530029986e-06,1.8336363171921905e-06,1.3141151685435425e-06,3.4994397897897868e-06,1.2858912695195186e-06,4.179187087087084e-05,9.862629767267259e-05,6.805214539414409e-10,0.0,0.0,0.0,0.0
373.0,3.0328098631343827e-05,1.8438227869181667e-06,1.1990805970345339e-06,3.228723328885133e-06,1.19928869221096e-06,5.5045697972972935e-05,0.00017541518611111098,2.8241844963888875e-09,0.0,0.0,0.0,0.0
374.0,0.00010095872806524017,1.8744132539039026e-06,1.1492265707582575e-06,2.6954181305555545e-06,1.243815742304804e-06,9.160310337837832e-05,0.0003904739323198196,1.2534213227466208e-08,0.0,0.0,0.0,0.0
375.0,0.00032007075252774004,1.914317758708708e-06,1.2424415434684677e-06,2.84253983046171e-06,1.2218496018768762e-06,0.00012757294063438433,0.0005608922453453451,6.450260821471469e-09,0.0,0.0,0.0,0.0
376.0,0.0067584441641282255,1.8854381493993987e-06,1.2111872187687683e-06,3.5708166340840826e-06,1.363423158408408e-06,0.00011703863648648645,0.000441141376126126,1.8704394347747742e-08,0.0,0.0,0.0,0.0
377.0,0.07121808509353339,1.9455525481418914e-06,1.3239998004879876e-06,4.318331622747747e-06,1.5264766514639638e-06,6.8589543262012e-05,0.0002788090289039039,8.949769827815313e-09,0.0,0.0,0.0,0.0
378.0,0.3018907955660375,1.9855372596846843e-06,1.4292383005255253e-06,4.105428852777777e-06,1.7005777076576573e-06,9.690826381381379e-05,0.0005110259706831832,3.1019276420469216e-08,0.0,0.0,0.0,0.0
379.0,0.5930888884727719,1.6021537721283783e-06,1.0434668869932433e-06,3.4422747636824325e-06,1.4326341383445946e-06,0.00011069617077702703,0.0010929382542229729,5.989301633141891e-08,0.0,0.0,0.0,0.0
380.0,0.7775324405588738,1.5862197860360357e-06,9.384266972972972e-07,3.1094309009009005e-06,1.1045514099099097e-06,0.0001016132376126126,0.0013225614121621621,7.247636538648648e-08,0.0,0.0,0.0,0.0
381.0,0.844925484885125,1.6576593017454952e-06,1.0094244460022522e-06,3.3701160113738734e-06,1.2343464973536036e-06,8.935220827702701e-05,0.0008439573936373872,3.5615002011497737e-08,0.0,0.0,0.0,0.0
382.0,0.8715503411021182,1.6514793797297293e-06,9.922052874999998e-07,3.6921693351351346e-06,1.2964863648648646e-06,2.291253243243243e-05,0.00032361116351351345,4.78944522e-09,0.0,0.0,0.0,0.0
383.0,0.8906267498996873,1.6748981950450445e-06,1.0043665420045041e-06,3.3250440132882875e-06,1.318386262556306e-06,4.0701170889639627e-05,0.0002213120244369369,6.550835923333331e-09,0.0,0.0,0.0,0.0
384.0,0.905534908834752,1.757136812162161e-06,1.0852934576576572e-06,3.016782536486485e-06,1.2621063409909905e-06,7.635512027027025e-05,0.0004470246950450448,2.39158211849099e-08,0.0,0.0,0.0,0.0
385.0,0.9135301346857091,1.7211806984797288e-06,8.600465006756753e-07,2.6190832499999984e-06,1.2056770261824319e-06,0.00017302194425675667,0.0023608361402027013,8.617051911739861e-08,0.0,0.0,0.0,0.0
386.0,0.9212166769357664,1.6654747524774766e-06,8.915745004391887e-07,2.0012585707207197e-06,1.0597442719594588e-06,0.00038974259538288264,0.026011061981869355,9.468026561400446e-07,0.0,0.0,0.0,0.0
387.0,0.9217962805019667,1.7282333817567556e-06,1.0319622880630625e-06,1.93580518108108e-06,1.2105100283783775e-06,0.0021089539869369356,0.14773946748355848,4.195800876533061e-06,0.0,0.0,0.0,0.0
388.0,0.9337341822491542,1.7445003567567543e-06,1.1992078641891876e-06,2.156073233108105e-06,1.1487226804054037e-06,0.025643186768918885,0.4324907393756751,7.395591643324044e-06,0.0,0.0,0.0,0.0
